Name, Symbol, Atomic_Number, Atomic_Weight
Hydrogen, H,1,1.008
Helium, He,2,4.003
Lithium, Li,3,6.941
Beryllium, Be,4,9.012
Boron, B,5,10.811
Carbon, C,6,12.011
Nitrogen, N,7,14.007
Oxygen, O,8,15.999
Fluorine, F,9,18.998
Neon, Ne,10,20.180
Sodium, Na,11,22.990
Magnesium, Mg,12,24.305
Aluminum, Al,13,26.982
Silicon, Si,14,28.086
Phosphorus, P,15,30.974
Sulfur, S,16,32.066
Chlorine, Cl,17,35.453
Argon, Ar,18,39.948
Potassium, K,19,39.098
Calcium, Ca,20,40.078
Scandium, Sc,21,44.956
Titanium, Ti,22,47.880
Vanadium, V,23,50.942
Chromium, Cr,24,51.996
Manganese, Mn,25,54.938
Iron, Fe,26,55.847
Cobalt, Co,27,58.933
Nickel, Ni,28,58.693
Copper, Cu,29,63.546
Zinc, Zn,30,65.390
Gallium, Ga,31,69.723
Germanium, Ge,32,72.610
Arsenic, As,33,74.922
Selenium, Se,34,78.960
Bromine, Br,35,79.904
Krypton, Kr,36,83.800
Rubidium, Rb,37,85.468
Strontium, Sr,38,87.620
Yttrium, Y,39,88.906
Zirconium, Zr,40,91.224
Niobium, Nb,41,92.906
Molybdenum, Mo,42,95.940
Technetium, Tc,43,97.907
Ruthenium, Ru,44,101.070
Rhodium, Rh,45,102.906
Palladium, Pd,46,106.420
Silver, Ag,47,107.868
Cadmium, Cd,48,112.411
Indium, In,49,114.818
Tin, Sn,50,118.710
Antimony, Sb,51,121.760
Tellurium, Te,52,127.600
Iodine, I,53,126.904
Xenon, Xe,54,131.290
Cesium, Cs,55,132.905
Barium, Ba,56,137.327
Lanthanum, La,57,138.906
Cerium, Ce,58,140.115
Praseodymium, Pr,59,140.908
Neodymium, Nd,60,144.240
Promethium, Pm,61,144.913
Samarium, Sm,62,150.360
Europium, Eu,63,151.965
Gadolinium, Gd,64,157.250
Terbium, Tb,65,158.925
Dysprosium, Dy,66,162.500
Holmium, Ho,67,164.930
Erbium, Er,68,167.260
Thulium, Tm,69,168.934
Ytterbium, Yb,70,173.040
Lutetium, Lu,71,174.967
Hafnium, Hf,72,178.490
Tantalum, Ta,73,180.948
Tungsten, W,74,183.840
Rhenium, Re,75,186.207
Osmium, Os,76,190.230
Iridium, Ir,77,192.220
Platinum, Pt,78,195.080
Gold, Au,79,196.967
Mercury, Hg,80,200.590
Thallium, Tl,81,204.383
Lead, Pb,82,207.200
Bismuth, Bi,83,208.980
Polonium, Po,84,208.982
Astatine, At,85,209.987
Radon, Rn,86,222.018
Francium, Fr,87,223.020
Radium, Ra,88,226.025
Actinium, Ac,89,227.028
Thorium, Th,90,232.038
Protactinium, Pa,91,231.036
Uranium, U,92,238.029
Neptunium, Np,93,237.048
Plutonium, Pu,94,244.064
Americium, Am,95,243.061
Curium, Cm,96,247.070
Berkelium, Bk,97,247.070
Californium, Cf,98,251.080
Einsteinium, Es,99,252.083
Fermium, Fm,100,257.095
Mendelevium, Md,101,258.100
Nobelium, No,102,259.101
Lawrencium, Lr,103,262.110
Rutherfordium, Rf,104,267.000
Dubnium, Db,105,262.000
Seaborgium, Sg,106,266.000
Bohrium, Bh,107,264.000
Hassium, Hs,108,269.000
Meitnerium, Mt,109,268.000
Darmstadtium,Ds,110,281.100
Roentgenium,Rg,111,272.000
Copernicium,Cn,112,285.000
Nihonium,Nh,113,286.000
Flerovium,Fl,114,289.000
Moscovium,Mc,115,288.000
Livermorium,Lv,116,292.000
Tennessine,Ts,117,294.000
Oganesson,Og,118,294.000
